,Artist,Title,Year
0,Francis Craig,Near You,1947
1,The Harmonicats,Peg O’ My Heart,1947
2,Ted Weems,Heartaches,1947
3,Ray Noble and Buddy Clark,Linda,1947
4,Tex Williams,"Smoke, Smoke, Smoke That Cigarette",1947
5,Vaughn Monroe,I Wish I Didn’t Love You So,1947
7,Al Jolson,Anniversary Song,1947
9,Sammy Kaye,That’s My Desire,1947
10,Vaughn Monroe,Ballerina,1947
11,Art Lund,Mam’selle,1947
12,Freddy Martin,"Managua, Nicaragua",1947
13,Perry Como,Chi-Baba Chi-Baba,1947
14,Red Ingle and Jo Stafford,Temptation,1947
15,Ted Weems and Perry Como,I Wonder Who’s Kissing Her Now,1947
17,Sammy Kaye,The Old Lamplighter,1947
18,Perry Como,When You Were Sweet Sixteen,1947
19,Jack Owens,How Soon,1947
20,Arthur Godfrey,Too Fat Polka,1947
21,Eddy Howard,"I Wonder, I Wonder, I Wonder",1947
22,Eddy Howard,My Adobe Hacienda,1947
23,Hoagy Carmichael,Huggin’ And Chalkin’,1947
24,Hoagy Carmichael,Ole Buttermilk Sky,1947
25,The King Cole Trio,I Love You For Sentimental Reasons,1947
27,Vaughn Monroe,You Do,1947
29,Bing Crosby,White Christmas,1947
31,Mills Brothers,Across The Alley From The Alamo,1947
32,Andrews Sisters and Danny Kaye,Civilization Bongo Bongo Bongo,1947
35,Count Basie,"Open The Door, Richard",1947
37,Dorothy Shay,Feudin’ And Fightin’,1947
41,Bing Crosby,The Whiffenpoof Song,1947
45,Peggy Lee,Golden Earrings,1947
47,Domenico Modugno,Volare,1958
48,Everly Brothers,All I Have To Do Is Dream / Claudette,1958
49,Elvis Presley,Don’t / I Beg Of You,1958
50,David Seville,Witch Doctor,1958
51,Perez Prado,Patricia,1958
52,Billy Vaughn,Sail Along Silvery Moon / Raunchy,1958
53,Perry Como,Catch A Falling Star / Magic Moments,1958
54,Champs,Tequila,1958
55,Tommy Edwards,It’s All In The Game,1958
56,Dean Martin,Return To Me,1958
57,Conway Twitty,It’s Only Make Believe,1958
58,Sheb Wooley,The Purple People Eater,1958
59,Everly Brothers,Bird Dog / Devoted To You,1958
60,Silhouettes,Get A Job,1958
61,Elegants,Little Star,1958
62,Ricky Nelson,Stood Up / Waitin’ In School,1958
63,Laurie London,He’s Got The Whole World In His Hands,1958
64,Platters,Twilight Time,1958
65,Jimmie Rodgers,Secretly,1958
66,Danny and The Juniors,At The Hop,1958
67,Coasters,Yakety Yak,1958
68,Elvis Presley,Wear My Ring Around Your Neck / Doncha’ Think It’s Time,1958
69,Ricky Nelson,Poor Little Fool,1958
