,Artist,Title,Year
0,Francis Craig,Near You,1947
1,The Harmonicats,Peg O’ My Heart,1947
2,Ted Weems,Heartaches,1947
3,Ray Noble and Buddy Clark,Linda,1947
4,Tex Williams,"Smoke, Smoke, Smoke That Cigarette",1947
5,Vaughn Monroe,I Wish I Didn’t Love You So,1947
6,The Three Suns,Peg O’ My Heart,1947
7,Al Jolson,Anniversary Song,1947
8,Larry Green,Near You,1947
9,Sammy Kaye,That’s My Desire,1947
10,Vaughn Monroe,Ballerina,1947
11,Art Lund,Mam’selle,1947
12,Freddy Martin,"Managua, Nicaragua",1947
13,Perry Como,Chi-Baba Chi-Baba,1947
14,Red Ingle and Jo Stafford,Temptation (Tim-tayshun),1947
15,Ted Weems and Perry Como,I Wonder Who’s Kissing Her Now,1947
16,The Andrews Sisters,Near You,1947
17,Sammy Kaye,The Old Lamplighter,1947
18,Perry Como,When You Were Sweet Sixteen,1947
19,Jack Owens,How Soon,1947
20,Arthur Godfrey,Too Fat Polka,1947
21,Eddy Howard,"I Wonder, I Wonder, I Wonder",1947
22,Eddy Howard,My Adobe Hacienda,1947
23,Hoagy Carmichael,Huggin’ And Chalkin’,1947
24,Hoagy Carmichael,Ole Buttermilk Sky,1947
25,The King Cole Trio,I Love You For Sentimental Reasons,1947
26,Dick Haymes,Mam’selle,1947
27,Vaughn Monroe,You Do,1947
28,Guy Lombardo,Anniversary Song,1947
29,Bing Crosby,White Christmas,1947
30,Dinah Shore,Anniversary Song,1947
31,Mills Brothers,Across The Alley From The Alamo,1947
32,Andrews Sisters and Danny Kaye,Civilization Bongo Bongo Bongo,1947
33,Kay Kyser,The Old Lamplighter,1947
34,Art Lund,Peg O’ My Heart,1947
35,Count Basie,"Open The Door, Richard",1947
36,Margaret Whiting,You Do,1947
37,Dorothy Shay,Feudin’ And Fightin’,1947
38,Charlie Spivak,Linda,1947
39,Guy Lombardo,"Managua, Nicaragua",1947
40,Tex Beneke and The Glenn Miller Orchestra,Anniversary Song,1947
41,Bing Crosby,The Whiffenpoof Song,1947
42,Vaughn Monroe,How Soon,1947
43,Dusty Fletcher,"Open The Door, Richard",1947
44,Eddy Howard,I Love You For Sentimental Reasons,1947
45,Peggy Lee,Golden Earrings,1947
46,Kay Kyser,Ole Buttermilk Sky,1947
0,Pee Wee Hunt,Twelfth Street Rag,1948
1,Peggy Lee,Manana,1948
2,Bing Crosby,Now Is The Hour,1948
3,Margaret Whiting,A Tree In The Meadow,1948
4,Jon and Sondra Steele,My Happiness,1948
5,Ken Griffin and Jerry Wayne,"You Can’t Be True, Dear",1948
6,Dick Haymes,Little White Lies,1948
